longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean
-95.4124675564,49.7628591089,0.357260,0.464818,304.300971,,2842.719626,904.047170,5721.301887,2060.859813,,-5135.362500,562.401869,3060.244444,2112.000000,1482.532710
-95.3666072070,49.7628591089,0.397442,0.488516,304.435644,,2767.616822,930.773585,5655.632075,2008.831776,,-5130.044944,559.320755,3059.340909,4160.000000,1455.242991
-95.3207468577,49.7628591089,0.494484,0.589807,316.960000,,2733.616822,1014.355140,5542.443396,2012.952830,,-5126.166667,579.314286,3058.108108,4160.000000,1427.691589
-94.6328416177,49.7628591089,0.392906,0.547949,271.037736,,2553.925234,743.570093,5759.205607,1758.429907,,-5138.422680,464.822430,3038.108108,6208.000000,1011.719626
-94.5869812684,49.7628591089,0.361664,0.436099,268.980583,149.000000,2372.933333,701.257143,5590.980952,1638.866667,,-5130.368421,449.330097,3038.641026,6208.000000,1000.600000
-94.2200984738,49.7628591089,0.243256,0.385295,250.824074,,2625.833333,725.657407,6021.240741,1748.370370,,-5200.130000,429.214953,3026.424242,5184.000000,758.620370
-94.1742381244,49.7628591089,0.226225,0.402852,238.714286,,2331.914286,665.780952,5867.561905,1539.295238,,-5180.551020,393.873786,3025.305556,5915.428571,730.228571
-93.9449363778,49.7628591089,0.276038,0.376558,231.892157,,2369.666667,659.865385,5978.971429,1538.721154,,-5088.980392,380.961905,3019.484848,4672.000000,587.790476
-93.8990760284,49.7628591089,0.290171,0.367266,231.588235,,2379.390476,643.428571,6009.326923,1534.133333,,-5060.637255,375.590476,3018.512821,4842.666667,560.104762
-93.8532156791,49.7628591089,0.301507,0.406537,230.981132,,2286.777778,625.850467,5918.523364,1473.420561,,-5055.933333,369.740741,3017.761905,6208.000000,531.250000
-93.8073553298,49.7628591089,0.338592,0.381313,234.405660,,2326.605505,677.518519,5882.814815,1522.121495,,-5099.915094,386.981481,3022.837838,6208.000000,621.577982
-93.7156346311,49.7628591089,0.269283,0.315916,190.480769,147.000000,1982.761905,504.038095,5833.209524,1259.500000,,-5062.555556,309.457143,3036.380952,5622.857143,987.794118
-93.6697742818,49.7628591089,0.250254,0.359027,209.271028,147.000000,2150.168224,601.000000,5845.420561,1401.990654,,-5057.699029,350.594340,3034.604651,5525.333333,991.801887
-93.5780535831,49.7628591089,0.262060,0.357491,212.542857,147.000000,2301.632075,596.537736,6030.632075,1490.542056,,-5048.419048,364.066667,3033.931818,6208.000000,914.317757
-93.5321932338,49.7628591089,0.219404,0.237703,217.592233,147.000000,2258.619048,566.798077,5907.230769,1463.752381,,-5036.164948,362.323810,3047.347826,6208.000000,1364.653846
-93.4863328845,49.7628591089,0.203925,0.252135,229.247619,,2400.726415,571.915094,5998.886792,1546.745283,,-4999.866667,372.076923,3066.021739,6003.200000,2032.571429
-93.3487518365,49.7628591089,0.040274,0.291223,218.388350,,2112.561905,414.571429,5469.096154,1357.323810,,-5027.800000,328.538462,3063.157895,5798.400000,2078.400000
-93.2570311378,49.7628591089,0.197108,0.296160,280.029412,,2796.728972,733.000000,5849.785047,1923.813084,,-5052.600000,474.679245,3060.476190,4160.000000,2027.028302
-93.2111707885,49.7628591089,0.070033,0.185152,289.105769,,2795.101852,773.842593,5740.814815,1970.611111,,-5060.542553,501.574074,3059.550000,4842.666667,2001.092593
-93.1194500898,49.7628591089,0.116119,0.186282,373.857143,154.071429,2050.752381,830.605769,3979.314286,1682.847619,1.400000,-3358.347826,575.009524,3029.867925,5772.894737,2303.612245
-93.0735897405,49.7628591089,0.268945,0.331213,361.047619,155.222222,2377.514286,888.721154,4486.320755,1878.292453,1.333333,-4107.901099,585.915094,3033.235294,6208.000000,2057.057692
