fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean,Window
63,0.2632132692,0.5103258664,-94.8621433644,49.6999773266,249.178571,,2689.035714,731.714286,5935.607143,1816.607143,,-5174.888889,439.785714,3038.909091,6208,1137.714286,25_May_09_June
64,0.417599383,0.5389544562,-94.8162830151,49.6999773266,213.259259,,1949.413793,627.068966,5403,1343.551724,,-5213.653846,375.758621,3038,6208,1110.689655,25_May_09_June
65,0.2757353112,0.482617043,-94.7704226657,49.6999773266,196.896552,,2066.896552,536.62069,5739.37931,1366.689655,,-5232.521739,346.103448,3035.666667,4160,1081.37931,25_May_09_June
66,0.3123477681,0.5348728382,-94.6787019671,49.6999773266,202.678571,,2142.285714,567.714286,5782.214286,1433.642857,,-5188.44,362.857143,3033.5,5184,1025.321429,25_May_09_June
67,0.5029737293,0.6203042539,-94.6328416177,49.6999773266,213.586207,,2513.103448,676.724138,6033.344828,1681.965517,,-5158.833333,403.758621,3032.272727,,997.758621,25_May_09_June
68,0.125478738,0.1845788218,-94.5411209191,49.6999773266,179.928571,,1833.821429,415,5543.142857,1175.535714,,-5082.192308,291.37037,3030.5,4160,940.357143,25_May_09_June
69,0.168390709,0.313000704,-94.4952605697,49.6999773266,154.185185,,1284.714286,275.571429,4733.928571,821.214286,,-5092.541667,228.892857,3028.25,4160,913.964286,25_May_09_June
70,0.3701859942,0.5191099246,-94.4494002204,49.6999773266,171,,1255.068966,311.714286,4633.448276,830.724138,,-5104.695652,244.655172,3027,4160,884.857143,25_May_09_June
71,0.6477895826,0.4483503345,-94.4035398711,49.6999773266,166,152,1221.62069,296.965517,4356.892857,817.448276,,-4551.896552,238.571429,3002.1,13891,1073.714286,25_May_09_June
72,0.4203843816,0.7131249209,-94.3118191724,49.6999773266,252.714286,149,2327.214286,645.5,5624.185185,1576.285714,,-5139.035714,409.148148,3030.5,6208,864.071429,25_May_09_June
73,0.4672472988,0.511981351,-94.2659588231,49.6999773266,279.740741,,2789.892857,814.785714,5959.142857,1912.178571,,-5175.555556,481.392857,3022.3,6208,772.535714,25_May_09_June
74,0.2933056313,0.4140090406,-94.2200984738,49.6999773266,269.433333,,2516.133333,789.466667,5776.666667,1722.6,,-5164.615385,458.733333,3020.9,6208,743.2,25_May_09_June
75,0.3121348832,0.3515247798,-94.1283777751,49.6999773266,227.481481,,2379.392857,616.357143,6042.857143,1532.071429,,-5211.538462,374.892857,3019.181818,5525.333333,686.107143,25_May_09_June
76,0.1783381361,0.515399581,-94.0366570764,49.6999773266,216.6,,2025.333333,532.733333,5809.566667,1294.933333,,-5232.333333,326.785714,3015.777778,6208,629.7,25_May_09_June
77,0.2052510853,0.318991445,-93.9907967271,49.6999773266,238.678571,,2523.821429,638.214286,6159.928571,1612.785714,,-5164.259259,382.714286,3014.777778,6208,600.642857,25_May_09_June
78,0.3325581793,0.4917945564,-93.8990760284,49.6999773266,214.25,,2120.285714,479.321429,6018.407407,1308.607143,,-5021.148148,311.642857,3012,6208,544.464286,25_May_09_June
79,0.2835544389,0.4940610346,-93.8073553298,49.6999773266,250.892857,,2569.928571,737.148148,6018.892857,1696.037037,,-5023.074074,422.642857,3033.375,,896.333333,25_May_09_June
80,0.2028352171,0.3330542296,-93.7156346311,49.6999773266,206.464286,,2341.321429,592.714286,6143.964286,1491.142857,,-5038.923077,350.892857,3068.933333,5798.4,2206.857143,25_May_09_June
81,0.367788905,0.341937637,-93.6239139325,49.6999773266,206.034483,,2159.931034,607.413793,5949.241379,1397.586207,,-5036.269231,340.357143,3065.545455,6208,2089.035714,25_May_09_June
82,0.2751752124,0.3504736476,-93.5780535831,49.6999773266,228.821429,147,2535,716.178571,6084.142857,1658.964286,,-5045,399.62963,3055.857143,,2063.428571,25_May_09_June
83,0.322638534,0.375631758,-93.5321932338,49.6999773266,226.571429,147,2463.357143,680.428571,6059.607143,1605.214286,,-5033.36,392.071429,3051.142857,,1972.071429,25_May_09_June
84,0.2917618688,0.4618679785,-93.4404725351,49.6999773266,231.068966,,2581,669.862069,6163.137931,1672.137931,,-4992,393.035714,3059.818182,6208,2118.068966,25_May_09_June
85,0.2412971519,0.1239119992,-93.0735897405,49.6999773266,202.2,155.333333,660.966667,176.392857,2591.6,570.166667,1,-4367.807692,270.6,3035.230769,6238.166667,2086.75,25_May_09_June
86,0.270963135,0.4388508954,-94.2659588231,49.6370955444,254.304348,,2985.958333,730.208333,6309.791667,1964.916667,,-5233.409091,443.625,3016.375,,756.5,25_May_09_June
87,0.1985519444,0.4107692987,-94.1742381244,49.6370955444,291.125,,2916.84,855.76,6019.6,1985.92,,-5113.590909,493.76,3014.272727,,699.32,25_May_09_June
88,0.4733275332,0.5663253225,-94.1283777751,49.6370955444,249.181818,,2575.583333,673.166667,6100,1680.083333,,-5082.26087,405.708333,3012.555556,6208,670.666667,25_May_09_June
89,0.2199300577,0.1153129886,-94.0825174258,49.6370955444,212.958333,,2585.96,561.28,6361.24,1628.16,,-5004.708333,356.56,3011.857143,6208,642.88,25_May_09_June
90,0.4741236097,0.7537769425,-93.9907967271,49.6370955444,247.64,,2513.04,590,6104.76,1596.52,,-5006.12,376.958333,3009.142857,5184,584.72,25_May_09_June
91,0.1633876741,0.3033414423,-93.9449363778,49.6370955444,264.833333,,2439.583333,653.708333,5897.833333,1588.125,,-5041.458333,406.25,3007.666667,,558.333333,25_May_09_June
92,0.2055895939,0.3826466743,-93.8532156791,49.6370955444,240.653846,,2330.346154,643.576923,5820.115385,1539,,-5228.84,389.2,3034.307692,4160,1418.269231,25_May_09_June
93,0.3134625942,0.3924255967,-93.8073553298,49.6370955444,268.956522,,2621,764.583333,5904.416667,1753.125,,-5254.55,447.083333,3041.4,,1315.333333,25_May_09_June
94,0.3013065793,0.4752412096,-93.7614949805,49.6370955444,231.791667,,2413.6,657.52,6050.32,1558.28,,-5021.75,380.083333,3060.230769,6208,2132.041667,25_May_09_June
95,0.0883837808,0.1447547041,-93.6697742818,49.6370955444,238.888889,,2659.555556,728.555556,6185.407407,1725.481481,,-4958,405.740741,3061.727273,,2234.259259,25_May_09_June
96,0.3020113314,0.3237001741,-93.6239139325,49.6370955444,246.416667,,2706.458333,823.666667,6090.291667,1804.583333,,-4973.545455,437.521739,3060.5,2112,2208.333333,25_May_09_June
97,0.3096343184,0.3358458719,-93.5780535831,49.6370955444,253.32,,2553,788.52,5933.24,1704.08,,-4970.333333,430.875,3058.909091,,2183.2,25_May_09_June
98,0.1446593903,0.2363868039,-93.4863328845,49.6370955444,238,,2512.846154,721.346154,6005.230769,1661.576923,,-5006.26087,412,3056,2112,2132.192308,25_May_09_June
99,0.3120541066,0.3951789826,-93.4404725351,49.6370955444,236.130435,,2660.166667,749.28,6149.04,1741.96,,-5014.3,415.16,3054.571429,6208,2106.12,25_May_09_June
100,-0.0196529726,0.1999299526,-93.3028914871,49.6370955444,188.130435,,1921.76,362.88,5583.36,1225.8,,-5053.64,299.76,3050.555556,6208,2028.12,25_May_09_June
101,0.2089852586,0.1697596302,-93.2111707885,49.6370955444,186.521739,,2060.666667,369.625,5541.416667,1307.291667,,-5073.857143,299.291667,3047.444444,,1976.333333,25_May_09_June
102,0.433824511,0.4240646946,-93.1653104392,49.6370955444,257.28,,3055.36,751.08,6263.88,2066.16,,-5073.347826,480.041667,3046,,1950.32,25_May_09_June
103,0.0063871238,0.2351676971,-93.0735897405,49.6370955444,200.75,151,2330.125,393.75,5763.083333,1495.375,1,-5037.666667,343.5,3052.111111,5747.25,1967.478261,25_May_09_June
104,0.3046984954,0.4766454142,-100.915709476,49.5742137621,531.444444,157,2094.074074,2120.074074,3710.777778,2185.222222,,2083.52,992,2877.545455,,401.037037,25_May_09_June
105,0.4492718366,0.8119978408,-100.8698491267,49.5742137621,589.827586,,2147.37931,2271.206897,3603.241379,2376.551724,,-1294.448276,1116.034483,2938.454545,,86.62963,25_May_09_June
106,0.3021183746,0.2939879348,-94.4035398711,49.5742137621,164.678571,,1421.071429,342.714286,4634.892857,936.321429,,-5142.28,247.714286,3014.636364,,826.25,25_May_09_June
107,0.2130604014,0.4669421862,-94.3576795217,49.5742137621,192.413793,,2278.133333,470.433333,5813.133333,1462.2,,-5091.36,323,3013.2,,798.1,25_May_09_June
108,0.3775849425,0.4592682019,-94.2659588231,49.5742137621,263.142857,,2690.964286,684.142857,6078.703704,1773.714286,,-5052.846154,432.964286,3010.7,5388.8,741.678571,25_May_09_June
109,0.6421209753,0.7056654334,-94.2200984738,49.5742137621,269.571429,,2806.25,768.785714,6051.142857,1891.392857,,-5062.518519,462.821429,3010.3,6208,712.964286,25_May_09_June
110,0.4215698673,0.5266887463,-94.1742381244,49.5742137621,277.892857,,2929.333333,770.666667,6107.533333,1980.4,,-5099.233333,477.066667,3008.416667,,685.033333,25_May_09_June
111,0.2852626794,0.2894699861,-94.0366570764,49.5742137621,269.655172,,2719.6,793,5941.965517,1846.933333,,-4976.04,467.9,3058.461538,,2120.566667,25_May_09_June
112,0.0861115892,0.1006394778,-93.8990760284,49.5742137621,196.214286,,2176.25,397.464286,6235,1325.178571,,-4951.72,293.321429,3063.6,6208,2349.642857,25_May_09_June
113,0.0566377979,0.1419852054,-93.8532156791,49.5742137621,217.551724,,2387.766667,497.066667,5923.233333,1507.133333,,-4958.6,329.137931,3061.933333,4160,2324.166667,25_May_09_June
114,-0.0517144958,0.1316980642,-93.7614949805,49.5742137621,226.107143,,2307.428571,605.464286,6040,1460.074074,,-4977.565217,357.5,3059.4,,2273.821429,25_May_09_June
115,0.0441098083,0.1054629078,-93.7156346311,49.5742137621,207.137931,,1962,508.137931,5780.655172,1254.793103,,-4973.956522,321.344828,3057.545455,6208,2248.206897,25_May_09_June
116,0.0448203474,0.1452327665,-93.6697742818,49.5742137621,261.814815,,2720.517241,811.321429,6031.37931,1823.892857,,-5002.518519,449.678571,3056.307692,,2222.896552,25_May_09_June
117,0.0125869671,0.166949613,-93.5780535831,49.5742137621,249.357143,,2737.071429,762.678571,6145.037037,1804.821429,,-5007.92,430.25,3052.909091,6208,2171.75,25_May_09_June
118,0.2464607684,0.3233519299,-93.5321932338,49.5742137621,240.25,,2822.466667,720.933333,6250.6,1845.7,,-5021.692308,419.8,3052.142857,6208,2146.266667,25_May_09_June
119,0.2648578398,0.3002685742,-93.4863328845,49.5742137621,257.962963,,2986.892857,815.714286,6236.607143,2000.357143,,-5022.407407,461.964286,3050.454545,2112,2119.964286,25_May_09_June
120,0.0764564555,0.1380905448,-93.3946121858,49.5742137621,238.730769,,2746.357143,714.25,6239.464286,1813.821429,,-5037.666667,422.321429,3047.833333,6208,2068.857143,25_May_09_June
121,0.3518251944,0.6074241002,-93.3487518365,49.5742137621,285.366667,,3062.62069,882.833333,6151.966667,2086.586207,,-4861.571429,500.206897,3036.923077,6208,1855.1,25_May_09_June
122,0.4303664145,0.4950822608,-93.2570311378,49.5742137621,269.851852,,3056.321429,811.535714,6221.5,2065.5,,-4810.583333,483.428571,3043.272727,6208,1856.571429,25_May_09_June
123,0.4418540113,0.3567118887,-93.2111707885,49.5742137621,251.724138,,3029.137931,704.068966,6379.103448,1986.275862,,-4999.678571,436.137931,3035.8,6208,1899.275862,25_May_09_June
124,0.4365960866,0.4815366834,-93.1194500898,49.5742137621,270.142857,,3185.964286,832.535714,6336,2133.107143,,-5247.166667,478,3032.888889,2112,1549.307692,25_May_09_June
125,0.2307578257,0.2222676078,-93.0735897405,49.5742137621,241.785714,,2575.035714,578.035714,5971.888889,1702.535714,,-4259.166667,413.142857,3025,6208,1616,25_May_09_June
126,0.3262315211,0.5081334118,-100.9615698253,49.5113319799,624.5,157,2197.166667,2230.208333,3573.208333,2481.583333,,-3117.826087,1176,2922.444444,,125.782609,25_May_09_June
127,0.5601289831,0.7882023261,-93.9449363778,49.5113319799,310.44,,2633.12,679.8,5833.68,1749.72,,-5077.541667,461.64,2996.5,5798.4,526.08,25_May_09_June
128,0.0641908369,0.264003859,-93.7614949805,49.5113319799,221.48,,2093.36,529.958333,5853.2,1349.76,,-4992.652174,345.28,3053.538462,,2261.96,25_May_09_June
129,0.2495219509,0.3657908655,-93.7156346311,49.5113319799,222.346154,,2458,583.115385,6197.923077,1556.846154,,-5015.64,359.730769,3052,6208,2236.807692,25_May_09_June
130,0.3082117372,0.3452577361,-93.6239139325,49.5113319799,217,,2849.48,580.88,6623.36,1773.44,,-5006.772727,361.96,3049.272727,6208,2185.92,25_May_09_June
131,0.3474323239,0.3396618717,-93.5780535831,49.5113319799,220.48,,2900.52,598.84,6594.08,1817.6,,-5001.818182,370.04,3047.75,6208,2159.8,25_May_09_June
