fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ,VZA_mean,COMP_mean
567,1.0211983919,1.4611481329,-97.6137643242,49.4484501976,465.678571,2362.107143,1790.285714,4336.321429,2114.285714,,828.107143,-4947.96,2862.916667,,878.571429,
568,0.8917430469,1.8124581096,-97.5679039749,49.4484501976,475.758621,2075.448276,1839.241379,3939.344828,1967.551724,,844.793103,-4963.555556,2877.727273,,974.620690,
569,1.0436513603,1.4113157153,-97.5220436256,49.4484501976,466.321429,2541.607143,1751.571429,4448.285714,2241.392857,,831.607143,-4886.086957,2893.090909,,1401.428571,163.000000
570,1.1976020753,2.2598640919,-97.4761832762,49.4484501976,456.793103,2421.068966,1801.586207,4416.275862,2183.689655,,843.62069,-4984.833333,2865.846154,,918.724138,163.000000
571,0.8040194462,1.0161909262,-97.4303229269,49.4484501976,499.928571,2741.5,1827.714286,4631.148148,2486.107143,,921.071429,-4800.44,2941.909091,,2160.777778,165.000000
572,0.8438895925,1.5496487141,-97.3844625776,49.4484501976,505.965517,2242.482759,1948.655172,4019.206897,2171.482759,,921.793103,-4791.916667,2914,,1987.931034,161.000000
573,0.7133616563,1.2540005667,-97.2927418789,49.4484501976,442.678571,2455.892857,1772.642857,4483.357143,2172.071429,,818.642857,-4736.038462,2943.538462,,2500.071429,
574,0.9055092735,1.1709855013,-97.2468815296,49.4484501976,458.965517,2344.448276,1810.034483,4276.275862,2162,,859,-4736.269231,2941.272727,,2475.310345,
575,0.9175129831,1.6488750478,-97.2010211802,49.4484501976,375.857143,3188.392857,1582.607143,5480.642857,2496.785714,,718.888889,-4734.291667,2940.461538,,2450.500000,
576,0.7942267813,1.285130246,-97.1551608309,49.4484501976,423.5,2671.724138,1778.392857,4710.551724,2303.413793,,800.392857,-4701.888889,2911.1875,,1922.034483,161.000000
577,0.877899001,1.1792640388,-97.1093004816,49.4484501976,457.107143,2687.392857,1825.75,4682.107143,2354.964286,,846.964286,-4718.666667,2937.133333,,2400.285714,
578,0.916981553,1.5669099092,-97.0175797829,49.4484501976,450.068966,3207.482759,1824.655172,5130.137931,2690.482759,1,839.37931,-4029.76,2923.066667,,2450.344828,164.000000
579,0.8983838037,1.6404413357,-96.9717194336,49.4484501976,463.5,2931.678571,1887.035714,4882.392857,2488.821429,,833.428571,-4678.545455,2933,,2092.625000,
