longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ_mean,VZA_mean
-100.227804236,49.2598048509,0.602532,0.798736,510.147059,166.730769,1919.448529,1205.956204,3092.766423,2047.485294,1.578947,918.345588,1870.360656,2892.154762,8586.653061,2345.284553
-100.1360835374,49.2598048509,0.671047,0.911625,474.228188,165.812500,2587.286667,1897.246667,4272.013333,2418.386667,1.500000,912.872483,5643.677165,2812.164384,2999.250000,2167.140625
-100.0902231881,49.2598048509,0.633270,0.899821,513.362416,164.700000,2596.233333,2222.913333,4315.827815,2498.019868,0.714286,984.973154,7352.846154,2774.453125,2155.125000,2261.353383
-100.0443628387,49.2598048509,0.682993,1.000609,515.900000,163.250000,2489.460000,2239.926667,4186.953642,2444.556291,0.666667,997.722973,8987.481203,2762.888889,2152.000000,2368.804348
-99.9985024894,49.2598048509,0.603757,0.856311,488.604027,165.714286,2609.253333,2142.786667,4401.046667,2459.720000,0.833333,949.026846,10279.634328,2733.800000,2156.125000,2409.466667
-99.9526421401,49.2598048509,0.623015,1.008125,460.224490,168.428571,2796.382550,2047.416107,4698.268456,2511.295302,0.750000,895.530201,10936.204380,2718.344262,2148.500000,2492.927007
-99.9067817907,49.2598048509,0.653963,1.032978,452.807947,169.750000,2726.809211,2049.578947,4656.131579,2450.921053,0.857143,883.470199,11668.335766,2701.610169,2153.916667,2561.768116
-99.8609214414,49.2598048509,0.624832,1.064747,451.298013,172.000000,2619.516556,2012.033113,4555.403974,2386.258278,0.750000,885.833333,12288.360294,2686.407407,2364.333333,2552.957447
-99.7233403934,49.2598048509,0.912178,1.365609,417.440000,163.500000,2928.701987,1956.317881,5016.400000,2505.393333,0.714286,827.240000,12157.714286,2697.340426,2760.900000,2543.188406
-99.6774800441,49.2598048509,0.853709,1.309844,422.801325,163.500000,2906.447368,1968.381579,4956.572368,2503.993377,0.666667,835.720000,12153.360656,2696.040000,2658.500000,2567.046512
-99.6316196948,49.2598048509,0.879082,1.332926,416.489933,163.500000,2917.293333,1875.653333,4995.446667,2497.382550,0.500000,823.344595,11701.122807,2710.477273,2590.111111,2624.491803
